[2021-01-23 12:23] Se ha creado el archivo de registros
[2021-01-23 12:24] Ingreso de UsuarioYucsan id=3
[2021-01-23 12:24] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:13] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:14] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:16] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:16] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:19] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:21] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:28] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:31] Ingreso de Usuario Yucsan id=3
[2021-01-23 13:32] Ingreso de Usuario Yucsan id=3
[2021-01-23 15:10] Ingreso de Usuario Yucsan id=3
[2021-01-23 15:14] Ingreso de Usuario Yucsan id=3
[2021-01-23 19:35] Ingreso de Usuario Yucsan id=3
[2021-01-23 19:36] Ingreso de Usuario Yucsan id=3
[2021-01-23 19:38] Ingreso de Usuario Yucsan id=3
[2021-01-23 20:05] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:10] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:10] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:10] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:14] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:14] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:16] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:16] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:17] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:19] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:19] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:21] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:21] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:22] Ingreso de Usuario Yucsan id=3
[2021-01-23 21:23] Ingreso de Usuario Yucsan id=3
[2021-01-27 15:45] Ingreso de Usuario Yucsan id=3
[2021-01-27 15:53] Ingreso de Usuario Yucsan id=3
[2021-01-28 13:01] Ingreso de Usuario Yucsan id=3
[2021-01-28 16:11] Ingreso de Usuario Yucsan id=3
[2021-01-28 16:36] Ingreso de Usuario Yucsan id=3
[2021-01-28 17:07] Ingreso de Usuario Yucsan id=3
[2021-01-29 07:45] Ingreso de Usuario Yucsan id=3
[2021-01-29 10:36] Ingreso de Usuario Yucsan id=3
[2021-01-29 13:01] Ingreso de Usuario Yucsan id=3
[2021-01-29 13:22] Ingreso de Usuario Yucsan id=3
[2021-01-29 13:23] Ingreso de Usuario Yucsan id=3
[2021-01-29 15:57] Ingreso de Usuario Yucsan id=3
[2021-01-29 16:54] Ingreso de Usuario Yucsan id=3
[2021-01-30 10:12] Ingreso de Usuario Yucsan id=3
[2021-01-30 10:24] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:23] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:23] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:23] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:24] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:24] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:30] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:39] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:44] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:44] Ingreso de Usuario Yucsan id=3
[2021-01-30 11:59] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:01] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:02] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:02] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:02] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:02] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:03] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:03] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:04] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:04] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:04] Ingreso de Usuario Yucsan id=3
[2021-01-30 12:05] Ingreso de Usuario Yucsan id=3
[2021-01-30 13:29] Ingreso de Usuario Yucsan id=3
[2021-01-30 13:34] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:02] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:07] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:11] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:12] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:17] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:21] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:22] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:22] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:26] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:26] Ingreso de Usuario Yucsan id=3
[2021-01-30 14:28] Ingreso de Usuario Yucsan id=3
[2021-01-30 16:30] Ingreso de Usuario Yucsan id=3
[2021-01-30 16:44] Ingreso de Usuario Yucsan id=3
[2021-01-30 17:05] Ingreso de Usuario Yucsan id=3
[2021-01-30 17:06] Ingreso de Usuario Yucsan id=3
[2021-01-30 17:12] Ingreso de Usuario Yucsan id=3
[2021-02-01 19:39] Ingreso de Usuario Yucsan id=3
[2021-02-01 19:51] Ingreso de Usuario Yucsan id=3
[2021-02-01 19:51] Ingreso de Usuario Yucsan id=3
[2021-02-01 19:51] Ingreso de Usuario Yucsan id=3
[2021-02-01 19:52] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:11] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:27] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:28] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:34] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:48] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:52] Ingreso de Usuario Yucsan id=3
[2021-02-02 16:57] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:05] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:08] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:12] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:12] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:14] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:15] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:30] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:30] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:38] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:39] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:52] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:52] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:53] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:54] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:54] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:54] Ingreso de Usuario Yucsan id=3
[2021-02-02 17:55] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:12] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:13] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:13] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:13] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:15] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:15] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:16] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:16] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:24] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:25] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:42] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:55] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:58] Ingreso de Usuario Yucsan id=3
[2021-02-04 16:59] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:01] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:03] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:05] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:05] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:06] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:07] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:08] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:18] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:18] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:19] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:19] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:20] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:33] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:34] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:35] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:36] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:36] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:37] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:39] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:42] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:44] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:45] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:46] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:47] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:48] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:49] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:51] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:51] Ingreso de Usuario Yucsan id=3
[2021-02-04 17:53] Ingreso de Usuario Yucsan id=3
